CompVar,Company,Variety,SeedTreatment,Location,Trait,Value,Region
ProHarvest_317,ProHarvest,317,G,Elkville,testweight,57.87,SIL
USG_3329,USG,3329,G,Elkville,testweight,58.77,SIL
USG_3404,USG,3404,G,Elkville,testweight,56.25,SIL
USG_3536,USG,3536,G,Elkville,testweight,57.4,SIL
AgriMAXX_444,AgriMAXX,444,C,Belleville,yield,78.2,SIL
AgriMAXX_454,AgriMAXX,454,C,Belleville,yield,69.2,SIL
AgriMAXX_463,AgriMAXX,463,C,Belleville,yield,75.6,SIL
AgriMAXX_473,AgriMAXX,473,C,Belleville,yield,73.4,SIL
AgriMAXX_475,AgriMAXX,475,C,Belleville,yield,73.8,SIL
AgriMAXX_485,AgriMAXX,485,C,Belleville,yield,62.7,SIL
AgriMAXX_486,AgriMAXX,486,C,Belleville,yield,82.6,SIL
AgriMAXX_495,AgriMAXX,495,C,Belleville,yield,79.6,SIL
AgriMAXX_Exp_1902,AgriMAXX,Exp_1902,C,Belleville,yield,74.3,SIL
AgriMAXX_Exp_1905,AgriMAXX,Exp_1905,C,Belleville,yield,72.8,SIL
AgriMAXX_Exp_1906,AgriMAXX,Exp_1906,C,Belleville,yield,72.3,SIL
AgriMAXX_Exp_1913,AgriMAXX,Exp_1913,C,Belleville,yield,73,SIL
AgriPro_SY_576,AgriPro,SY_576,C,Belleville,yield,81.3,SIL
AgriPro_SY_100,AgriPro,SY_100,C,Belleville,yield,76,SIL
AgriPro_SY_547,AgriPro,SY_547,C,Belleville,yield,68.1,SIL
AgriPro_SY_Viper,AgriPro,SY_Viper,C,Belleville,yield,75.6,SIL
BioTown_Seeds_Diener_491W,BioTown_Seeds,Diener_491W,NA,Belleville,yield,76.8,SIL
BioTown_Seeds_Diener_497W,BioTown_Seeds,Diener_497W,NA,Belleville,yield,80.4,SIL
BioTown_Seeds_Diener_D510W,BioTown_Seeds,Diener_D510W,NA,Belleville,yield,69.4,SIL
BioTown_Seeds_Diener_XW1902W,BioTown_Seeds,Diener_XW1902W,NA,Belleville,yield,68.6,SIL
Croplan_CP8550,Croplan,CP8550,G,Belleville,yield,68.7,SIL
Croplan_CP8800,Croplan,CP8800,G,Belleville,yield,72.6,SIL
Croplan_CP9415,Croplan,CP9415,G,Belleville,yield,76.1,SIL
Croplan_CP9606,Croplan,CP9606,G,Belleville,yield,88.1,SIL
Dyna-Gro_9522,Dyna-Gro,9522,G,Belleville,yield,82,SIL
Dyna-Gro_9701,Dyna-Gro,9701,G,Belleville,yield,78.5,SIL
Dyna-Gro_9750,Dyna-Gro,9750,G,Belleville,yield,71.8,SIL
